model,season,n_train,n_valid,auc,logloss,brier,base_rate
prior,2020,1553,407,0.5,0.6933817688191246,0.2501172937198345,0.5356265356265356
heuristic,2020,1553,407,0.5590262608611233,0.6871287321640172,0.2469936324727399,0.5356265356265356
logistic,2020,1553,407,0.5884908499587399,0.6789100733112252,0.24296041207722582,0.5356265356265356
lgbm,2020,1553,407,0.5921557205960876,0.6787509214014444,0.2428473265770963,0.5356265356265356
prior,2021,1960,436,0.5,0.693165982879599,0.25000939975316094,0.5022935779816514
heuristic,2021,1960,436,0.5224207225974791,0.6926845413593256,0.24976744244537108,0.5022935779816514
logistic,2021,1960,436,0.5485343938724407,0.6916239848201267,0.24923049604206818,0.5022935779816514
lgbm,2021,1960,436,0.55131199629653,0.6916255208823623,0.249235450919512,0.5022935779816514
prior,2022,2396,438,0.5,0.6929583016560973,0.24990556367726963,0.5114155251141552
heuristic,2022,2396,438,0.5891814085447264,0.6822808992042744,0.24457572426880134,0.5114155251141552
logistic,2022,2396,438,0.5868240987983979,0.6813088152226013,0.2441168654787585,0.5114155251141552
lgbm,2022,2396,438,0.5831525367156208,0.6816995873458601,0.24431087266841986,0.5114155251141552
prior,2023,2834,458,0.5,0.6936161877614123,0.2502344899017442,0.4847161572052402
heuristic,2023,2834,458,0.5316651397159872,0.6915806490358081,0.24921641291566682,0.4847161572052402
logistic,2023,2834,458,0.5660597037715682,0.6871209394887374,0.24701881019440336,0.4847161572052402
lgbm,2023,2834,458,0.5542067491220033,0.6904421669952858,0.24865959575683766,0.4847161572052402
